index,Text,Tag,sentence_id
0,dừa lắm,0.0,0
1,bấp_bênh vl thế,1.0,1
2,chắc cũng biết ko tồn_tại đc bao_lâu nữa nên cố_gắng vét,1.0,2
3,"thấy chán ad page này kiến_thức thì nông cản cái gì cũng auto sủa , cái nhìn thì tiêu_cực , nói_chung là dốt còn nát",1.0,3
4,giang giang đỗ thị ngọc hà trend mới kìa kìa,0.0,4
5,đcm sau có con cho hút cỏ chữa bệnh chứ đéo đưa đi bệnh_viện,1.0,5
6,má nứng quá aiu ơi,1.0,6
7,chụp cái ảnh thôi làm đéo gì đâu mà phiền,1.0,7
8,tăng theo giờ,0.0,8
9,cực_kì thuyết_phục c,0.0,9
10,emma nguyen vậy_mà ca_ngợi bên kia lắm . về làm lol gì,1.0,10
11,thằng chó,1.0,11
12,loại nghiện game săm trổ k có tương_lai đâu nha,1.0,12
13,"nhung pham ai chê nghèo ngta có tiền đi nước nào kệ mẹ người ta , nó vẫn mang qtich vn thì về vn chữa vn đã cấm đâu mà lên_tiếng lm gì . ích_kỷ",1.0,13
14,toàn tin vớ_vẩn . khi nào việt_nam sát nhấp với trung_quốc thì cả cái dna này xách dép cho chúng_ta hết . hãy tin vào sự lãnh_đạo tài_tình của đảng và bộ_máy nhà_nước .,1.0,14
15,ủa bê đê có lol hả ta,1.0,15
16,"kéo chuột vãi lồn luôn , nó yếu lắm rồi d",1.0,16
17,mỗi lần lên sóng là đeo vàng làm như giàu lắm hay sao mà khoe của thấy ghê.còn cái mặt mình nhìn_chung ko có chỗ nào thiện_cảm hết.nhìn mặt là biết cái thứ đàn_bà độc_mồm độc miệng.hung dữ.nói tục chửi thề v.v tưởng z là hay lắm,1.0,17
18,làm thêm chục củ mở hòm csgo anh êi v,0.0,18
19,hãnh_diện về ng thầy có tâm nhất của năm .,0.0,19
20,vòng tiền xoay vòng lo nhìu mặt_khác của xã_hội chứ đâu lo cho mỗi bạn . vd tiền xây biệt phủ tiền cho con đi du_học .,0.0,20
21,"sau buổi phỏng_vấn này tôi sẽ múa bài võ cho.chox , . dập đĩa dữ",0.0,21
22,du_học_sinh úc pewpew,0.0,22
23,nói cái gì vậy_mà cứ nghe đụ má đụ cha vs vàng,1.0,23
24,có ai thấy khá giống đầu của jadon sancho ko nhỉ,0.0,24
25,khánh con sao ko lấy số người chết của ý ra nhỉ . ý cũng là châu_âu đó . hi_sinh người chết vừa làm tăng miễn_dịch cộng_đồng vừa cho đỡ chật đất . cách làm của tây hay thật ta ơi,1.0,25
26,nhịn nói sẽ bớt ngu chú ạ.hi,1.0,26
27,quảng_nam lại thêm ca nữa ạ,0.0,27
28,đúng là con_người mày không có ý_thức dân việt_nam chúng_ta không bao_giờ con cho cái,1.0,28
29,tên bài hát còn trẻ trâu hơn cả t nhé cười vl,1.0,29
30,"bá ý khẩu nghiệp nặng lắm nha , đầu_thai ch hết khẩu nghiệp nx",1.0,30
31,k icm làm ca_sĩ luôn rồi à,0.0,31
32,"thôi chết mẹ , hôm nọ thì con_mẹ nấm thối kêu_gào ông trum ông vại này_nọ , giờ lại đến idol trần dần . đang tự hỏi , không biết con_mẹ nấm thối có phải là cộng_sản nằm_vùng không",1.0,32
33,"hải_yến bố_con thần_kinh , thở ra cái là thấy mùi rồi",1.0,33
34,cho nó rít vài bi cần là nó ngoan vl luôn,1.0,34
35,nghĩ nó chán .,0.0,35
36,múa như cái biệt_danh susan chó,1.0,36
37,tặng cho những con bò thích làm theo và học_tập theo .,1.0,37
38,phong_trần đoàn chính park huyn phong tấn đồng_quê ta gọi là gì,0.0,38
39,ko phải chê gì chứ khả_năng win của sbtc quá cao . sela kidz clear vs petland toàn những thanh_niên chuyên_nghiệp try hard vkl sao những ông_già bên kia chơi lại . còn thầy lồn thì t xin mạng phép bỏ_qua ko nói tới coi như sbtc đánh,1.0,39
40,thuỳ trang nghe chưa dc s tắt cmnr nhạc vs nhẽo,1.0,40
41,lào giờ gần như là của tàu khựa rồi thằng ad ngu ạ . ủng_hộ cái mồ tổ_cha mày .,1.0,41
42,ngay bên cạnh còn thấy codon nữa nói gì yêu xaaa,0.0,42
43,được anh ey,0.0,43
44,giờ này ngta ngủ hết r thầy ơi . ai ngủ rồi điểm_danh phát,0.0,44
45,may lại có r,0.0,45
46,quang_minh cái lồn má,1.0,46
47,vl handsome boy,1.0,47
48,song trên doi người ta dam ăn dám noi con_người thẳng_thắn . con hơn mấy con mượn danh đạo tạo danh đời đồ giả_tạo nhìn là biết chỉ do so con ko thấy đôg cức trên đầu mình . mấy con di ma hay soi moi người ta rồi tập lam con_người lại di .,1.0,48
49,"ngu thì chết , đâu phải ko có suy_nghĩ đúng_sai , chỉ do ko có ý_thức .",1.0,49
50,ngộ_nghĩnh nhỉ,0.0,50
51,yêu làm cái j,0.0,51
52,thuỷ_tạ cho mình hỏi này uốn kiểu gì vậy bạn ơi,0.0,52
53,ok thầy nhé,0.0,53
54,"cảm_giác như dân mình giống thời_kì bị đô_hộ vkl . sưu_thuế ngập mồm . mà bị đô_hộ khéo còn phát_triển đc chứ đây chả thấy đc cái méo gì , còn khổ thêm",1.0,54
55,ko thich vn thì cút sang campuchia mà sống dlv cho biết,1.0,55
56,tộc mixi có khác,0.0,56
57,nhi lai mới nghe nói hồi chiều,0.0,57
58,chắc trêu,0.0,58
59,popy đi thầy,0.0,59
60,cho xin video vs,0.0,60
61,giáo_án về one champ lee bú đá và rụng mất xác,1.0,61
62,bên ngoài tóc đẹp bên trong nhiều tiền,0.0,62
63,con gà phải để cho abe,0.0,63
64,ae cho phím đuổi abe để cô dolce quay trở_lại nào,0.0,64
65,"hot girl ống tinh đi , nghe vui_tai hơn",1.0,65
66,bài này nghe bất tai thôi . dùng comeback vs cảm_ơn đàn đóm của ổng . chứ bài này không có tính phổ_biến đủ mọi loại tuổi như hit đầu,0.0,66
67,kênh chat thế_giới khác,0.0,67
68,giờ mới nghe . trời_đất_ơi cái miệng nó dơ_bẩn vô_cùng . bởi_vậy giờ cả thế_giới đều khinh_bỉ . trời_ơi . khẩu nghiệp vô_cùng .,1.0,68
69,lươn_khươn kiểu cao_lãnh,0.0,69
70,phải_biết là sam và so khác nhau.và so đuôi tam_giác và so đuôi tròn càng khác nhau nữa,0.0,70
71,ninh trần cover liền,0.0,71
72,đếm dc tầm trăm con chim vàng,0.0,72
73,đíu ai like . cho thầy đi ăn_cắp luôn,1.0,73
74,căng quá các bác uiii,0.0,74
75,mỗi ho k có đờm gì hết r hqua lại mệt,0.0,75
76,cô tui đỉnh quá,0.0,76
77,bon con chau tq lam j co van hoa,1.0,77
78,cho em hỏi sao em xem cmt suốt ngày có cực_kì thuyết_phục là sao ạ,0.0,78
79,valentine năm_ngoái có_anh,0.0,79
80,cái bình chữa_cháy này chưa đạt chuẩn v chứ nếu chuẩn thì oto ko cháy nhanh thế đâu,0.0,80
81,khẩu nghiệp chêt mẹ may đó trời qua báo may đó hồi xưa may chửi nhiều người . bây giơ trời qua bao may_đo minh hiếu may gu rang chiu kkkkkk,1.0,81
82,lưu tuyền sắp đến mùa rồi cô ạ ai rủ buôn đừng buôn,0.0,82
83,trần_thành,0.0,83
84,nếu vậy thì mấy ông csgt ra đường làm gì cho bẩn áo . mấy ông mà mà người xấu hết thù ở nhà là xong . có thế một phát là vn lại một ngày đi một trung_đội như năm nào .,0.0,84
85,ghép làm chó nha ae,0.0,85
86,"cũng ko ngạc_nhiên jì lắm , gần hết xăng_xái cho đạt yêu_cầu quan_thầy ấy mà , riêng cái điều này coi_bộ khó đạt í , có thằng chó nào ra đường nói tiếng tàu với đồng_bào , đồng_nghiệp , bạn_bè bằng tiếng tàu ko , lúc đó nó cho vào bệnh_viện tâm_thần thì bỏ_mẹ , hay về nhà hôn vợ , nựng con nó có nói tiếng tàu được vợ_con nó chắc ngạc_nhiên lắm vì nghĩ nó bị khùng , hahaha",1.0,86
87,chúng_mày làm gì có văn_hoá mà lập ra_bộ văn_hoá,1.0,87
88,nguyễn_công viễn cẩn_thận nha,0.0,88
89,"uầy , được anh ơi . cứ như ngồi cạnh thằng tùng ấy nhờ . k có đcm luôn . nghe cứ điếm vãi cả nồi ấy .",1.0,89
90,"t muốn coi qá , nhưng sợ nên ngỉ phẻ . đỡ tốn tiền",0.0,90
91,,0.0,91
92,like vì cùng suy nghi,0.0,92
93,"bắn bỏ hết mẹ lũ tham_quan đi , lũ chó",1.0,93
94,t cừi tiếng rồi và vẫn chưa có dấu_hiệu dừng lại,0.0,94
95,tự_hào quá vn ơi,0.0,95
96,ý_nghĩa,0.0,96
97,vũ hạnh dương cô_mình hơi nóng hia hiaaaa,0.0,97
98,idol,0.0,98
99,idol lạc qua đây luôn,0.0,99
100,con nay mat dai,1.0,100
101,"phạm tuong không có cái gì cũng tự_dưng lôi anh tao vào , cái thứ dòng đỗn lì , không khịa anh tao thì m bị ngứa_tay à",1.0,101
102,từ hôm_nay việt_nam đã có pikachu go để chơi rồi nhé,0.0,102
103,trung cộng phát_hiện có cả virus trong nước_tiểu nhé .,1.0,103
104,dnn thay ba nhieu hok tro tot vc l,1.0,104
105,chàng trai vs điệu múa bê_bết,0.0,105
106,còn tốt lắm,0.0,106
107,chuẩn là ngon_ngọt nước luôn,0.0,107
108,ai yêu ib nhé,0.0,108
109,chắc_panda vui,0.0,109
110,nắm tay nhau thật chặt . giữ tay nhau thật sâu . cho chắc_ăn . dân sẽ mừng . cũng như mỹ xấu ăn thịt người . mà vc pháo_kích thì cứ chạy tới mỹ và nguỵ để được giúp chữa bệnh . làng mỹ lai .,1.0,110
111,"thần_quyền ếch vồ hoa mướp thở quá rồi , huyết_áp rồi",0.0,111
112,du me may,1.0,112
113,chửi cũng nể_nang chứ . đkm tao báo công_an bắt chết cụ mày . phạt mày tr bây_giờ .,1.0,113
114,này mà lúc buồn xúm lại nghe cô nói_chuyện chắc cười chết luôn á,0.0,114
115,bai vo nay bac ho ma con song bung tay cai la ong toi.can gi phai sung voi dao.dung la ba_que ba xao .,1.0,115
116,nguyễn_nam khựa story,1.0,116
117,lê_thư bớt ngu,1.0,117
118,ninh trần đi đâu cx gặp idol,0.0,118
119,cái mỏ con linh cá_lóc ni giống như cái đít vịt,1.0,119
120,tao mà bắt_gặp thg nào là tao bêu rếu nó từ đầu trên xuống dưới từ bên này qua bên kia đm cho nó đội quần nó nghỉ làm mẹ luôn dùm tao,1.0,120
121,pham văn rang tưng băt dinh qua cua pele va vô đich sea_game lân,0.0,121
122,ok chấp,0.0,122
123,mai anh tuân mua được mấy cái siêu xe cho các con du_học bên bển rồi v,0.0,123
124,co con cac,1.0,124
125,nguyễn_đức ánh lại thêm thằng ngu thíc sủa bậy .,1.0,125
126,huỷ cái dmm v,1.0,126
127,nhà tiên_tri đã làm bao_nhiêu diễn_viên mất việc,0.0,127
128,"hởi toàn_thể trịu dân vn chúng_ta hãy truy_tìm kẻ khốn_nạn này . đây là tiền thúê của chúg ta góp vào phục_vụ đất_nước , sao chúng trộm làm của riêng đậu moá anh chịu hết_nổi rồi",1.0,128
129,tổ sử mấy thằng này chỉ bênh_vực nhau . thế_nào là gạt tay lỡ như thằng nhà_báo nó đấm vỡ mõm thằng ca xong nó bảo chỉ là gạt tay thì có xử thằng nhà_báo ko toàn làm_trò hề thôi bọn ca chó này,1.0,129
130,à thì ra vì muốn ăn tĩ nên bán cái lương_tâm vốn đã rách_rưới để chê khoa_học_gia nhật,1.0,130
131,lương lẹo là nghề của búa liềm,1.0,131
132,sela tuổi gì với abe,1.0,132
133,được anh ưii,0.0,133
134,em cũng không biết nứa _,0.0,134
135,ý là tháng kiếm tr chỉ để cho con ăn tôm_hùm và cua hoàng_đế thôi . còn số tiền còn lại không kể hết,0.0,135
136,địt_mẹ chúng_mày cmt lịch_sự chút đi .,1.0,136
137,anh nguyen tuan biến con_mẹ mày,1.0,137
138,đàn_bà j nhìn mặt giống dân ông xấu thấy mô,1.0,138
139,được quá nhỡ,0.0,139
140,"xl la xong sao , de nghi_gia dinh xum lai nho nuoc bot uot het nguoi no moi chiu",1.0,140
